date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:59	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:55%20GMT	http://doc.superbtc.org/en/release/v0.9.3	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.9.3	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:59	11696/11696	---M-Z	200	added ('OK')	text/html	etag:%222db0-5610f9bb09d00-gzip%22	http://doc.superbtc.org/en/glossary/outpoint.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/outpoint.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:00	11498/11498	---M-Z	200	added ('OK')	text/html	etag:%222cea-5610fdd508a40-gzip%22	http://doc.superbtc.org/en/glossary/sequence-number.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/sequence-number.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:00	306855/306855	---M-Z	200	added ('OK')	text/html	etag:%224aea7-5611003f03c40-gzip%22	http://doc.superbtc.org/en/developer-examples.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/developer-examples.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:01	11163/11163	---M-Z	200	added ('OK')	text/html	etag:%222b9b-5610ffe83af80-gzip%22	http://doc.superbtc.org/en/glossary/wallet.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/wallet.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:01	11700/11700	---M-Z	200	added ('OK')	text/html	etag:%222db4-5610ffe83af80-gzip%22	http://doc.superbtc.org/en/glossary/hd-protocol.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/hd-protocol.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:01	10432/10432	---M-Z	200	added ('OK')	text/html	etag:%2228c0-5610facf9a980-gzip%22	http://doc.superbtc.org/en/glossary/payment-protocol.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/payment-protocol.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:02	9880/9880	---M-Z	200	added ('OK')	text/html	etag:%222698-5610e0a40ab40-gzip%22	http://doc.superbtc.org/en/glossary/start-string.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/start-string.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:02	298/298	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:58%20GMT	http://doc.superbtc.org/en/release/v0.14.2	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.14.2	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:02	298/298	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:58%20GMT	http://doc.superbtc.org/en/release/v0.13.2	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.13.2	(from http://doc.superbtc.org/en/developer-reference.html)
